檔名,漢字,本調臺羅,口語調臺羅,華語
錄音檔-阿國-短句-快速-1.wav,創啥,Tshong3 sannh4,Tshong2 sannh4,做什麼？
錄音檔-阿國-短句-快速-2.wav,緊咧,kin2--leh4,kin2 le3,快點
錄音檔-阿國-短句-快速-3.wav,到矣未,kau3--ah4--be7,kau3 ah4 be3,到了嗎？
錄音檔-阿國-短句-快速-4.wav,會使袂, e7-sai3--beh4,e3-sai3 be3,可以嗎？
錄音檔-阿國-短句-快速-5.wav,你幾點,li2 kui2 tiam2,li1 kui1 tiam2,你幾點？
錄音檔-阿國-短句-快速-6.wav,伊講按怎,i1 kong2 an2-na2,i7 kong1 an1-na2,他說怎樣？
錄音檔-阿國-短句-快速-7.wav,樓跤等無,lau5-kha1 tan2--bo5,lau5-kha1 tan2 bo3,樓下等嗎？
錄音檔-阿國-短句-快速-8.wav,Mia9載,mia9-tsai3,mia9-tsai3,明天
錄音檔-阿國-短句-快速-9.wav,tsang9,tsang9,tsang9,昨天
錄音檔-阿國-短句-快速-10.wav,好啦,ho2--lah4,ho2 lah4,好啦
錄音檔-阿國-短句-慢速-1.wav,你佇佗,li2 ti7 toh4,li1 ti3 toh4,你在哪？
錄音檔-阿國-短句-慢速-2.wav,欲出門矣未,beh4 tshut4-mng5--ah4-be7,be1 tshut8-mng5 ah4-be3,要出門了嗎？
錄音檔-阿國-短句-慢速-3.wav,你等一下,li2 tan2--tsit8-e7,li1 tan2 tsit4-le3,你等一下
錄音檔-阿國-短句-慢速-4.wav,我聽無,gua2 thiann1 bo5,gua1 thiann7 bo5,我聽不到
錄音檔-阿國-短句-慢速-5.wav,幾點,kui2 tiam2,kui1 tiam2,幾點？
錄音檔-阿國-短句-慢速-6.wav,等咧,tan2--leh4,tan2 leh4,等一下
錄音檔-阿國-短句-慢速-7.wav,到矣未,kau3--ah4-be7,kau3 ah3-be3,到了嗎？
錄音檔-阿國-短句-慢速-8.wav,物件咧,mih8-kiann7--leh4,mi3-kiann7 leh4,東西呢？
錄音檔-阿國-短句-慢速-9.wav,會使袂, e7-sai3--beh4,e3-sai3 beh4,可以嗎？
錄音檔-阿國-短句-慢速-10.wav,伊講好,i1 kong2 ho2,i7 kong1 ho2,他說好
錄音檔-阿國-短句-慢速-11.wav,到矣未,kau3--ah4-be7,kau3 ah3-be3,到了嗎？
錄音檔-阿國-短句-慢速-12.wav,佇伊遐,ti7 i1 hia1,ti3 i7 hia1,在他那
錄音檔-阿國-短句-慢速-13.wav,你等咧,li2 tan2--leh4,li1 tan2 leh4,你等一下
錄音檔-阿國-短句-慢速-14.wav,好啦,ho2--lah4,ho2 lah4,好啦
錄音檔-阿國-短句-慢速-15.wav,袂婿,--be7-sai3,be3-sai3,不可以
錄音檔-阿國-短句-慢速-16.wav,哪會按呢,na2 e7 an2-ne1,na2-e3 an1-ne7,怎麼會這樣
錄音檔-阿國-短句-慢速-17.wav,講好就好,kong2-ho2 to7 ho2,kong2-ho2 to3 ho2,講好就好
錄音檔-阿國-短句-慢速-18.wav,我等你,gua2 tan2--li2,gua1 tan2 li3,我等你
錄音檔-阿國-短句-慢速-19.wav,較緊咧,Khah4 kin2--leh4,khah8 kin2 leh4,快一點
錄音檔-阿國-短句-慢速-20.wav,較慢咧,khah4 ban7--leh4,khah8 ban7 leh4,慢一點
錄音檔-阿國-長句-快速-1.wav,你等咧佇加油站遐等我,li2 tan2--leh4 ti7 ka1-iu5-tsam7 hia1 tan2--gua2,li2 tan2 leh4 ti3 ka7-iu7-tsam7 hia1 tan2 gua3,你等一下在加油站那等我
錄音檔-阿國-長句-快速-2.wav,你閣共講一下，我感覺按呢袂使,"li2 koh4 ka7 kong2 tsit8-e5, gua2 kam2-kak4 an2-ne1 be7-sai3","li1 ko1 ka3 kong2 tsit10-le5, gua1 kam1-kak8 an1-ne1 be3-sai3",你再跟他講一下，我覺得這樣不行
錄音檔-阿國-長句-快速-3.wav,你等咧才來好無,li2 tan2--leh4 tsiah4 lai5 ho2--bo5,li2 tan2 leh4 tsia2 lai5 ho2 bo3,你等一下再來好嗎？
錄音檔-阿國-長句-快速-4.wav,我欲坐計程車過矣,gua2 beh4 tse7 ke3-ting5-tshia1 kue3--ah4,gua1 be1 tse3 ke2-ting7-tshia1 kue3 ah4,我要坐計程車過去了
錄音檔-阿國-長句-快速-5.wav,我tsang9物件已經提予伊矣，伊講按呢會使,"gua2 tsang9 mih8-kiann7 i3-king1 theh8 hoo7--i1--ah4, i1 kong2 an2-ne1 e7-sai3","gua1 tsang9 mi3-kiann7 i2-king1 the3 hoo7 i7 ah4, i7 kong1 an1-ne7 e3-sai3",我昨天已經把東西給他了，他說這樣可以
錄音檔-阿國-長句-快速-6.wav,恁朋友tsang5敢有歡喜,lin2 ping5-iu2 tsang9 kam2 u7 huann1-hi2,lin1 ping7-iu2 tsang9 kam2 u3 huann7-hi2,你朋友昨天有開心嗎？
錄音檔-阿國-長句-快速-7.wav,我感覺你按呢處理袂妥當,gua2 kam2-kak4 li2 an2-ne1 tshu2-li2 be7 tho3-tong3,gua1 kam1-kak8 li1 an1-ne7 tshu1-li2 be3 thoo3-tong3,我覺得你這樣處理不好
錄音檔-阿國-長句-快速-8.wav,你愛共問予清楚，敢是按呢,"li2 ai3 ka7 mng7 hoo7 tshing1-tsho2, kam2 si7 an2-ne1","li1 ai2 ka3 mng3 hoo3 tshing7-tsho2, kam1 si3 an1-ne7",你要問清楚，是這樣嗎？
錄音檔-阿國-長句-快速-9.wav,你有佮伊確定一下彼件代誌無,li2 u7 kah4 i1 khak4-ting7 tsit8-e5 hit4 kiann7 tai7-tsi3--bo5,li1 u7 ka2 i1 khak8-ting7 tsit4-e5 hit8 kiann7 tai3-tsi3 bo3,你有跟他確定那件事情嗎？
錄音檔-阿國-長句-快速-10.wav,你過去伊遐看覓一下,li2 koh4 khi3 i1 hia1 khuann3-mai7 tsit8-e5,li1 ko1 khi3 i7 hia1 khuann2-mai7 tsit4-e5,你再去他那邊看一下
錄音檔-阿國-長句-慢速-1.wav,你這馬講啥我聽無,li2 tsit4-ma2 kong2 sannh4 gua2 thiann1 bo5,li1 tsit8-ma2 kong1 sannh4 gua1 thiann7 bo5,你現在在說什麼，我聽不到
錄音檔-阿國-長句-慢速-2.wav,伊按呢處理代誌，袂使啦,"i1 an2-ne1 tshu2-li2 tai7-tsi3, be7-sai3--lah4","i7 an1-ne7 tshu1-li1 tai3-tsi3, be3-sai3 lah4",他這樣處理事情，不行啦
錄音檔-阿國-長句-慢速-3.wav,你等咧去遐敢好,li2 tan2--leh4 khi3 hia1 kam2 ho2,li2 tan2 leh4 khi2 hia1 kam1 ho2,你等一下去那邊，這樣好嗎？
